
#CC  	mndaadendaan	mn_aadendaan	
#CC  	mndaadenmaa	mn_aadenmaa	
#CC  	nmiinzis	_miinjis	
#CC sync 	__damoojige	gndamooj_ge	
finalV nDel  	gtwena	gtwe__	
C=C  	_baamaadzi	bbaamaadzi	
C=C  	_bagoowyaan	bbagoo_yaan	
C=C  	_kendaagot	gkendaagot	
C=C  	_kendaagzi	gkendaagzi	
C=C  	_kendaan	gkendaan	
C=C  	_kendaasa	gkendaasa	
C=C  	_kendmawaa	gkendmawaa	
C=C  	_kendmoo'aa	gkendmoo'aa	
C=C  	_kendmoo'we	gkendmoo'we	
C=C  	_kendmoonaa	gkendmoonaa	
C=C  	_kenjge	gkenjge	
C=C  	_kenmaa	gkenmaa	
C=C  	_kinoo_maagzi	gkinoo'maagzi	
C=C  	_maajninjiini	mmaajninjiini	
C=C  	_maakwii	mmaakwii	
C=C  	_maandaa	mmaandaa	
C=C  	_maandaa-zhiwebat	mmaandaa-zhiwebat	
C=C  	_maandaa-zhiwebzi	mmaandaa-zhiwebzi	
C=C  	_maandnge	mmaandnge	
C=C  	_maangden'gome	mmaangden'gome	
C=C  	_maangkawe	mmaangkawe	
C=C  	_maangnike	mmaangnike	
C=C  	_maangninjii	mmaangninjii	
C=C  	_maangshe	mmaangshe	
C=C  	_maangshkiinzhgwe	mmaangshkiinzhgwe	
C=C  	_maangtawge	mmaangtawge	
C=C  	_maangzide	mmaangzide	
C=C  	_maazaabi	mmaazaabi	
C=C  	_mawaa	mmawaa	
C=C  	_mazhwe	mmazhwe	
C=C  	_menwendaan	mmenwendaan	
C=C  	_menwenmaa	mmenwenmaa	
C=C  	_meskwendam	mmeskwendam	
C=C  	_migkweni	mmigkweni	
C=C  	_migshkaas'aa	mmigshkaas'aa	
C=C  	_migshkaastoon	mmigshkaastoon	
C=C  	_migwebdoon	mmigwebdoon	
C=C  	_migwebnaa	mmigwebnaa	
C=C  	_migwii	mmigwii	
C=C  	_miidaawendam	mmiidaawendam	
C=C  	_minbii	mminbii	
C=C  	_minkwe	mminkwe	
C=C  	_moon	mmoon	
C=C  	_naa'aa	nnaa'aa	
C=C  	_naa'chigaade	nnaa'chigaade	
